nome,cpf,idade,data,endereco,bairro,estado
Lorenzo Novaes,370.***.***-05,,,"loteamento alice freitas, 3",santa lúcia,AL
Cauê Cardoso,019.***.***-60,,,"trecho alícia monteiro, 61",são jorge 3ª seção,AL
Dra. Ana Luiza Silveira,324.***.***-40,,,"alameda pinto, 59",cinquentenário,MT
Lavínia Azevedo,318.***.***-03,,,"condomínio larissa teixeira, 216",olhos d'água,BA
Letícia Jesus,451.***.***-19,,,"vale de da mata, 75",bela vitoria,TO
Bruna Ribeiro,352.***.***-10,,,trevo beatriz cardoso,prado,AP
Theo Da Mata,758.***.***-44,,,"feira souza, 65",santa helena,AL
João Gabriel Porto,956.***.***-91,,,"fazenda luiza campos, 62",horto,GO
Maria Julia Freitas,178.***.***-53,,,"loteamento de gomes, 86",liberdade,RS
Dr. Otávio Barros,683.***.***-21,,,"condomínio marina costela, 29",morro dos macacos,RR
Yasmin Gomes,827.***.***-35,,,"feira letícia nascimento, 5",unidas,MA
Sofia Novaes,576.***.***-83,,,"aeroporto de ribeiro, 57",coração de jesus,MT
Ian Da Luz,152.***.***-77,,,"feira moura, 2",das industrias i,PB
Davi Luiz Souza,857.***.***-53,,,"favela peixoto, 76",mangueiras,PE
Cecília Araújo,032.***.***-26,,,"distrito rezende, 61",jardim américa,MT
Luiz Gustavo Duarte,381.***.***-44,,,"favela caldeira, 98",maria helena,DF
Ana Julia Cardoso,704.***.***-88,,,"chácara campos, 423",vila são geraldo,MG
Gabrielly Lima,560.***.***-30,,,"parque alves, 70",flavio de oliveira,RN
Heloísa Ribeiro,437.***.***-37,,,sítio luiz gustavo cunha,nova vista,RJ
Letícia Costa,530.***.***-70,,,"viela yago oliveira, 70",serrano,RN
Ana Beatriz Da Rocha,438.***.***-04,,,"alameda joão fernandes, 25",estrela do oriente,GO
Benjamin Moura,975.***.***-97,,,"trevo de rezende, 83",coqueiros,AL
Ana Julia Fogaça,103.***.***-70,,,"área de gonçalves, 31",vila real 2ª seção,RR
Clara Da Mata,354.***.***-00,,,"aeroporto de gomes, 936",vila santo antônio,MT
Fernanda Oliveira,102.***.***-14,,,"trevo correia, 72",olhos d'água,RN
Laura Das Neves,723.***.***-29,,,"viaduto vitor gabriel ferreira, 32",minas brasil,GO
Lívia Teixeira,694.***.***-29,,,"alameda teixeira, 9",vila são joão batista,AL
Eloah Moreira,904.***.***-00,,,"pátio de nunes, 3",vila nova dos milionarios,CE
Lívia Cardoso,619.***.***-61,,,campo de da paz,nova vista,PE
Augusto Freitas,930.***.***-01,,,"trevo marcos vinicius jesus, 4",alpes,AL
Raquel Fernandes,467.***.***-94,,,"parque de teixeira, 132",vila de sá,AM
Sr. Anthony Da Costa,614.***.***-07,,,"área lima, 7",vila são francisco,PI
Murilo Melo,431.***.***-80,,,"trecho pires, 10",nazare,MS
Srta. Mirella Barbosa,430.***.***-75,,,pátio de da rosa,glória,SE
Gabriela Das Neves,437.***.***-65,,,avenida emilly pereira,distrito industrial do jatoba,AL
Bruno Da Cunha,259.***.***-24,,,quadra costa,bonsucesso,MA
Alexandre Rodrigues,740.***.***-85,,,"vale rezende, 20",juliana,AL
Natália Rezende,784.***.***-11,,,"sítio nascimento, 64",são lucas,MG
Emilly Caldeira,732.***.***-07,,,"estrada eduardo porto, 85",boa vista,MA
Levi Azevedo,639.***.***-91,,,"estação da cruz, 13",primeiro de maio,PI
Nicole Da Rocha,567.***.***-90,,,"distrito clara viana, 41",lajedo,CE
Joana Moreira,435.***.***-51,,,"viela de das neves, 139",novo glória,DF
Maria Eduarda Almeida,573.***.***-56,,,"travessa de barros, 4",santa helena,PB
Marcela Da Cruz,876.***.***-78,,,"viela viana, 95",santa rita de cássia,CE
Helena Nunes,843.***.***-42,,,"feira vieira, 28",vila são dimas,SC
Isaac Oliveira,209.***.***-01,,,"rodovia cardoso, 377",santa cecilia,MT
Manuela Pinto,094.***.***-20,,,"praia almeida, 6",beira linha,AM
Bryan Ramos,681.***.***-94,,,"aeroporto de da rocha, 27",união,MS
Sr. Enzo Gabriel Fernandes,769.***.***-21,,,"rodovia laís nunes, 50",vila madre gertrudes 2ª seção,RR
Brenda Ramos,269.***.***-83,,,"rodovia de souza, 416",conjunto são francisco de assis,PI
Yuri Rezende,564.***.***-89,,,"praia costa, 3",vila santo antônio barroquinha,AC
Luiz Miguel Da Costa,630.***.***-34,,,via porto,conjunto capitão eduardo,PR
Enzo Nogueira,187.***.***-69,,,"campo cauã freitas, 66",xangri-lá,PB
Davi Lucca Azevedo,035.***.***-10,,,"condomínio cunha, 74",camponesa 2ª seção,PA
Luiz Otávio Fernandes,716.***.***-85,,,núcleo pietro barros,vila piratininga,PE
Thomas Correia,083.***.***-66,,,"aeroporto melo, 31",conjunto celso machado,AC
Davi Lucca Teixeira,647.***.***-26,,,"condomínio de lima, 66",mirtes,GO
Luiz Gustavo Ribeiro,149.***.***-78,,,"pátio davi lucca viana, 6",gameleira,PA
Pietra Da Mata,427.***.***-08,,,"feira gonçalves, 4",vila paquetá,AP
Joaquim Azevedo,016.***.***-16,,,núcleo viana,conjunto jatoba,RN
Sra. Agatha Melo,506.***.***-60,,,"feira de oliveira, 1",mariquinhas,RN
Maria Julia Lopes,613.***.***-68,,,"campo araújo, 10",tiradentes,GO
Dr. Marcelo Cardoso,862.***.***-07,,,lagoa ana sophia oliveira,pedreira padro lopes,RN
Catarina Moreira,207.***.***-11,,,"jardim sales, 42",conjunto minas caixa,RO
Heitor Vieira,089.***.***-92,,,"morro aragão, 796",estrela,MT
Luiz Fernando Da Luz,071.***.***-01,,,"aeroporto pietro oliveira, 4",parque são josé,RR
Sabrina Silva,216.***.***-69,,,"rodovia pedro henrique santos, 46",lagoa,AL
Luiz Henrique Martins,648.***.***-82,,,"praia ferreira, 17",heliopolis,RJ
Catarina Carvalho,196.***.***-10,,,"vila de farias, 46",minas caixa,AL
Ana Vitória Azevedo,529.***.***-01,,,"campo yasmin moreira, 49",funcionários,AP
Thales Campos,412.***.***-89,,,"avenida lavínia castro, 46",marieta 2ª seção,SP
Thales Oliveira,369.***.***-50,,,condomínio levi almeida,vila nova cachoeirinha 3ª seção,AM
Fernanda Cavalcanti,912.***.***-51,,,"viela isis gomes, 43",petropolis,AP
Dr. João Gabriel Da Conceição,831.***.***-00,,,"jardim luiz felipe duarte, 1",bela vitoria,RR
Noah Barros,310.***.***-86,,,"jardim almeida, 48",belvedere,MS
Dr. Felipe Novaes,685.***.***-59,,,"pátio de ribeiro, 16",pindura saia,RJ
Luiz Fernando Aragão,120.***.***-01,,,"ladeira mariane santos, 7",distrito industrial do jatoba,SE
Ana Júlia Cardoso,812.***.***-76,,,"vila silveira, 86",gameleira,PB
Marina Ramos,068.***.***-10,,,"ladeira duarte, 35",urca,MT
Dra. Joana Lopes,619.***.***-11,,,"viaduto de novaes, 952",dom cabral,SP
Isabel Duarte,146.***.***-87,,,"aeroporto isaac da conceição, 1",vila jardim montanhes,MT
Paulo Jesus,078.***.***-92,,,"fazenda de porto, 4",santa lúcia,PR
Laura Costa,540.***.***-25,,,"distrito de moraes, 56",alto vera cruz,AP
Sra. Milena Pinto,280.***.***-24,,,"jardim novaes, 13",sion,RO
Danilo Ribeiro,109.***.***-80,,,"ladeira de da conceição, 76",venda nova,TO
Lívia Nunes,742.***.***-23,,,"passarela de porto, 65",pousada santo antonio,PI
Alícia Rodrigues,349.***.***-16,,,"travessa de farias, 9",esplanada,RS
Agatha Rezende,057.***.***-79,,,"parque da luz, 3",grajaú,RR
Juliana Santos,605.***.***-59,,,"parque de silveira, 6",são jorge 3ª seção,MS
Maria Fernanda Da Conceição,408.***.***-50,,,"campo santos, 714",alto barroca,RJ
Daniela Barbosa,861.***.***-64,,,"área de moreira, 82",das industrias i,DF
Arthur Pinto,562.***.***-25,,,viela kamilly cunha,vista do sol,SP
Emanuel Aragão,910.***.***-57,,,"campo de da cruz, 22",conjunto são francisco de assis,SC
Dra. Alice Vieira,936.***.***-00,,,rodovia cunha,das industrias i,MA
Maria Cecília Moreira,805.***.***-71,,,"passarela joão pedro nunes, 6",vila oeste,DF
,532.***.***-41,,,"estação alves, 8",vila petropolis,PE
Maria Vitória Campos,380.***.***-57,,,"viela da costa, 16",canadá,MA
Isabel Da Conceição,819.***.***-93,,,"vale nogueira, 8",bela vitoria,CE
,013.***.***-69,,,"parque helena pires, 852",vila jardim são josé,AL
Dr. Thomas Nunes,967.***.***-46,,,"vereda da mota, 37",vila da luz,SE
Lucca Moura,718.***.***-35,,,"praia bryan martins, 8",santa amelia,SE
Diogo Souza,169.***.***-95,,,"largo maysa cavalcanti, 6",vila satélite,AP
Juliana Costa,980.***.***-39,,,"alameda de campos, 32",vila são rafael,AL
Eduarda Da Costa,739.***.***-48,,,"jardim de lima, 1",das industrias i,MT
Alana Freitas,427.***.***-73,,,aeroporto noah jesus,diamante,BA
Murilo Ramos,374.***.***-00,,,"feira jesus, 20",aparecida 7ª seção,DF
Cecília Souza,294.***.***-30,,,"campo emanuelly gonçalves, 51",novo glória,BA
Raul Martins,187.***.***-26,,,"alameda de carvalho, 150",saudade,RR
Renan Cavalcanti,072.***.***-77,,,"trevo nina pereira, 99",álvaro camargos,CE
Sr. Diego Pires,842.***.***-41,,,"morro eduarda farias, 92",aarão reis,AC
Sofia Da Rocha,719.***.***-03,,,"vale davi luiz dias, 709",vila oeste,CE
Lorenzo Dias,271.***.***-04,,,"favela elisa barbosa, 521",jardim vitoria,SC
Sr. Vitor Souza,426.***.***-83,,,"aeroporto laura gonçalves, 7",vila vista alegre,MG
Vitor Gabriel Cardoso,354.***.***-50,,,"setor de da luz, 81",são cristóvão,GO
Pedro Rodrigues,790.***.***-20,,,"trevo de moreira, 63",araguaia,PI
Eduarda Teixeira,745.***.***-17,,,"ladeira peixoto, 85",são marcos,MA
Daniel Oliveira,753.***.***-08,,,colônia maitê cardoso,copacabana,DF
Isadora Nogueira,129.***.***-05,,,"praia de campos, 94",candelaria,PR
Sr. Fernando Moraes,768.***.***-95,,,"área moreira, 8",grajaú,PA
Luiza Araújo,246.***.***-10,,,jardim de dias,mirtes,CE
Maria Luiza Pires,620.***.***-67,,,"viela de gonçalves, 79",vila havaí,SC
João Lucas Das Neves,974.***.***-49,,,"campo de nascimento, 5",serra do curral,SP
Vitor Gabriel Carvalho,387.***.***-92,,,"viaduto farias, 15",sagrada família,PR
Henrique Sales,196.***.***-39,,,"jardim cavalcanti, 94",petropolis,BA
Henrique Ferreira,360.***.***-07,,,"lago de lopes, 6",floramar,GO
Dra. Raquel Da Mota,263.***.***-78,,,"aeroporto de fogaça, 29",santa sofia,TO
Levi Melo,513.***.***-09,,,"travessa de da luz, 42",vila nova paraíso,MS
Ana Luiza Gomes,287.***.***-12,,,"estação de da costa, 211",pilar,PA
Isaac Fernandes,572.***.***-07,,,"recanto rodrigues, 80",minas caixa,PI
Leandro Fernandes,018.***.***-15,,,"praia daniel barbosa, 847",silveira,BA
Dr. Breno Sales,135.***.***-42,,,estação miguel rodrigues,coração de jesus,AL
Rafael Araújo,481.***.***-17,,,"trevo sofia moreira, 67",alta tensão 1ª seção,CE
Eduardo Da Costa,043.***.***-31,,,"quadra de alves, 729",camponesa 2ª seção,PA
Dra. Larissa Fernandes,562.***.***-00,,,"aeroporto jesus, 2",são francisco,ES
Milena Da Rocha,864.***.***-49,,,"alameda araújo, 53",piratininga,MS
Eduarda Aragão,362.***.***-90,,,"viela de sales, 68",nova esperança,TO
Sr. Ian Barbosa,149.***.***-70,,,"morro ryan da luz, 43",vila nova gameleira 2ª seção,PB
Ian Cardoso,731.***.***-78,,,área ferreira,jardim montanhês,AP
Vitor Gabriel Ferreira,916.***.***-01,,,"conjunto farias, 36",silveira,SE
Rodrigo Melo,982.***.***-89,,,praia marina da rosa,são jorge 3ª seção,AC
Anthony Rezende,831.***.***-66,,,"via de viana, 68",beija flor,SC
Sra. Bianca Farias,783.***.***-26,,,"viela campos, 2",anchieta,MG
João Carvalho,298.***.***-50,,,"vereda de aragão, 15",horto,RR
Benício Da Costa,783.***.***-07,,,"vereda de souza, 13",europa,PR
Yuri Alves,896.***.***-03,,,"colônia da costa, 7",ouro minas,SE
Gabriela Da Rosa,210.***.***-31,,,"vale de caldeira, 8",ribeiro de abreu,AL
Eduarda Da Conceição,238.***.***-00,,,"praia de silva, 91",joão pinheiro,ES
Vicente Aragão,875.***.***-88,,,avenida da luz,vila inestan,AL
Srta. Sabrina Teixeira,682.***.***-89,,,"estrada de da rosa, 69",jonas veiga,AP
Antônio Santos,198.***.***-03,,,"morro da rocha, 84",tirol,MT
Dr. Lucca Pinto,526.***.***-09,,,"estrada sabrina freitas, 40",acaba mundo,DF
Emilly Vieira,924.***.***-33,,,"recanto miguel moraes, 45",penha,RS
Dr. Gabriel Da Mata,701.***.***-69,,,"feira de farias, 28",horto,RS
Emanuella Azevedo,406.***.***-01,,,"sítio moura, 50",ápia,GO
Ana Julia Rocha,618.***.***-60,,,"trevo davi lucca da cruz, 72",boa união 1ª seção,PI
Milena Castro,482.***.***-82,,,"chácara da mota, 218",conjunto floramar,RJ
Lavínia Peixoto,204.***.***-50,,,"feira martins, 78",estrela do oriente,RN
Enzo Gabriel Gomes,893.***.***-40,,,"setor luiz henrique monteiro, 4",madri,MG
Laura Fogaça,196.***.***-80,,,"chácara de da mota, 4",pompéia,PA
Sr. Vitor Da Mata,062.***.***-78,,,Endereço inválido,Desconhecido,Desconhecido
Sophie Pinto,023.***.***-40,,,residencial noah mendes,vila atila de paiva,SC
Sr. Kaique Peixoto,726.***.***-47,,,"fazenda moraes, 80",vila vista alegre,ES
Luiz Henrique Mendes,248.***.***-76,,,"travessa leandro da mata, 898",vila sesc,RO
Sr. Felipe Barros,569.***.***-57,,,"área raquel moura, 8",mangabeiras,TO
Ana Beatriz Pereira,798.***.***-01,,,condomínio de santos,jaraguá,MG
Sr. Rafael Silva,238.***.***-15,,,"estação lara almeida, 67",sagrada família,PE
Dra. Olivia Mendes,189.***.***-05,,,residencial de mendes,jardim guanabara,RR
Eduardo Sales,052.***.***-74,,,"aeroporto emanuel barros, 4",tres marias,DF
André Rodrigues,375.***.***-91,,,"trecho gomes, 3",barreiro,GO
Sophia Cavalcanti,092.***.***-56,,,"alameda paulo da cruz, 70",vila madre gertrudes 3ª seção,PR
Carolina Sales,519.***.***-40,,,"residencial pinto, 95",etelvina carneiro,DF
Lucas Monteiro,654.***.***-37,,,"lagoa de silveira, 91",trevo,PI
João Felipe Dias,850.***.***-42,,,"condomínio moura, 504",santa helena,SE
Dr. Ian Fogaça,248.***.***-32,,,distrito de cavalcanti,vila barragem santa lúcia,RJ
Lorena Barros,785.***.***-10,,,"favela letícia jesus, 34",novo ouro preto,MG
Sra. Ana Clara Teixeira,760.***.***-59,,,"feira de da conceição, 796",mangabeiras,SE
Natália Monteiro,481.***.***-60,,,morro de ramos,conjunto taquaril,AM
Eduarda Duarte,893.***.***-30,,,"quadra lopes, 69",vila da paz,CE
Larissa Carvalho,632.***.***-37,,,"jardim de carvalho, 5",santo andré,AL
Lara Moraes,549.***.***-09,,,"vereda araújo, 18",garças,PI
Sophie Da Rosa,254.***.***-50,,,"pátio fernandes, 59",vila ouro minas,AM
Olivia Martins,391.***.***-39,,,"jardim vinicius caldeira, 28",jonas veiga,DF
Thomas Barros,105.***.***-12,,,"passarela de araújo, 123",andiroba,AM
Davi Luiz Azevedo,478.***.***-31,,,"rodovia eduarda ramos, 87",engenho nogueira,PB
Danilo Santos,297.***.***-55,,,"viela ana júlia fernandes, 25",pirineus,AC
Sr. Enzo Porto,496.***.***-67,,,"vereda cauê barbosa, 141",conjunto providencia,MA
Bianca Alves,304.***.***-57,,,"campo rodrigues, 351",brasil industrial,MS
Alexia Das Neves,267.***.***-00,,,"residencial de sales, 5",vila cloris,SE
Esther Campos,523.***.***-53,,,"área de castro, 108",nova vista,PI
Ana Júlia Freitas,584.***.***-17,,,"estrada fernanda jesus, 2",santa margarida,AC
Maria Vitória Da Mata,826.***.***-76,,,"lagoa pietro da cruz, 524",vila santa monica 2ª seção,RO
Ryan Da Mata,172.***.***-80,,,"rodovia de porto, 90",marieta 2ª seção,GO
Emilly Ribeiro,584.***.***-05,,,"parque de gomes, 71",mala e cuia,PA
Bernardo Pinto,217.***.***-12,,,"esplanada de moura, 30",vila petropolis,PA
Nicole Peixoto,829.***.***-89,,,distrito moraes,indaiá,MS
Isaac Da Conceição,867.***.***-85,,,"lago da luz, 59",suzana,AM
Davi Lucca Santos,571.***.***-73,,,"favela beatriz da costa, 77",antonio ribeiro de abreu 1ª seção,RJ
Paulo Lopes,186.***.***-11,,,"passarela davi lucca lopes, 37",ernesto nascimento,MG
Sophie Vieira,938.***.***-83,,,"vereda de da mota, 564",jaqueline,MA
Rodrigo Da Cruz,648.***.***-11,,,"favela costa, 372",serra,GO
Sr. Samuel Barbosa,903.***.***-23,,,"distrito jesus, 34",vila rica,RS
Dr. Cauê Ramos,109.***.***-34,,,"viela de castro, 27",álvaro camargos,DF
Bruno Jesus,354.***.***-42,,,"campo moreira, 48",tirol,RN
Lívia Correia,843.***.***-65,,,"favela de da rocha, 6",carlos prates,MS
Enrico Da Rocha,241.***.***-05,,,condomínio maria julia cavalcanti,vila são dimas,PA
Rafaela Aragão,269.***.***-22,,,chácara maria fernanda castro,marajó,PB
Dr. Marcos Vinicius Farias,475.***.***-80,,,ladeira castro,jardim são josé,MA
Larissa Lopes,015.***.***-12,,,"largo cavalcanti, 96",floramar,SC
Isadora Carvalho,917.***.***-13,,,"pátio de da paz, 57",são joão,SC
Sr. Vitor Da Rocha,234.***.***-51,,,"recanto de novaes, 32",serra do curral,TO
Isadora Pereira,501.***.***-06,,,"jardim stella da costa, 91",pompéia,BA
Dr. Bernardo Da Cunha,147.***.***-79,,,"residencial marina azevedo, 89",lagoinha leblon,MT
Gabrielly Mendes,954.***.***-50,,,"praça joão rezende, 30",céu azul,RJ
Sr. Bruno Da Mata,473.***.***-99,,,"chácara alice ferreira, 678",vila calafate,TO
Breno Rocha,237.***.***-52,,,estação de rodrigues,tres marias,PA
Luigi Ferreira,148.***.***-19,,,trevo vieira,nossa senhora aparecida,AP
Davi Lucca Da Cruz,862.***.***-78,,,"sítio de novaes, 75",vila são dimas,AL
Henrique Almeida,824.***.***-31,,,"área da costa, 29",dona clara,MS
Dr. Vitor Hugo Caldeira,943.***.***-42,,,"feira da costa, 17",vila dos anjos,SE
Alexia Souza,348.***.***-48,,,"lagoa alves, 97",buritis,MT
Luiza Azevedo,683.***.***-92,,,"recanto elisa da mota, 8",alípio de melo,AL
Dr. Kaique Da Mota,143.***.***-60,,,"setor vinicius moraes, 475",nossa senhora aparecida,TO
Laura Lima,051.***.***-41,,,"área oliveira, 91",são paulo,SP
Raul Rodrigues,039.***.***-05,,,"aeroporto da rocha, 499",estrela,BA
Joaquim Melo,305.***.***-21,,,"ladeira ribeiro, 6",vila santo antônio,PE
Benjamin Cardoso,054.***.***-44,,,"trevo da cunha, 2",são bento,AL
João Miguel Lopes,741.***.***-26,,,"via de nunes, 63",olaria,ES
Letícia Da Mota,587.***.***-02,,,"travessa de lopes, 205",mariano de abreu,CE
Levi Da Rocha,840.***.***-92,,,"via brenda cunha, 49",vila da ária,AC
Lorena Caldeira,625.***.***-60,,,"praça ana luiza fernandes, 5",conjunto jatoba,BA
Cauê Nogueira,473.***.***-64,,,recanto melo,conjunto providencia,ES
Sra. Yasmin Ferreira,805.***.***-68,,,"lago de da cunha, 6",custodinha,RN
Nicole Almeida,529.***.***-79,,,chácara joão gabriel nogueira,goiania,MG
Fernando Pereira,560.***.***-59,,,"trecho de rodrigues, 659",alto das antenas,PR
Breno Pereira,916.***.***-91,,,"residencial gabriela azevedo, 35",vila rica,PI
Clara Dias,190.***.***-50,,,"conjunto da conceição, 39",outro,DF
Dra. Milena Vieira,237.***.***-87,,,"campo camila das neves, 14",granja de freitas,MG
Vitor Gabriel Porto,394.***.***-43,,,"residencial luiza correia, 598",savassi,ES
Sr. Erick Da Rosa,971.***.***-84,,,núcleo de caldeira,vila são joão batista,AL
Marcos Vinicius Da Cunha,709.***.***-04,,,"lagoa de rodrigues, 23",vila nova,RN
Sra. Nina Pires,651.***.***-26,,,"viela eloah cunha, 42",vila suzana primeira seção,RS
Felipe Ribeiro,259.***.***-60,,,"núcleo maria julia cunha, 21",vila santa rosa,PE
Maria Julia Porto,864.***.***-07,,,alameda nascimento,vila suzana primeira seção,GO
Pedro Cardoso,125.***.***-50,,,"travessa de da rosa, 86",itaipu,PA
Rebeca Da Paz,047.***.***-66,,,"sítio de costa, 5",pantanal,TO
Enrico Gonçalves,637.***.***-46,,,campo bernardo barros,conjunto são francisco de assis,MG
Murilo Campos,031.***.***-22,,,recanto silva,joão paulo ii,SP
Olivia Porto,608.***.***-65,,,"conjunto almeida, 3",bela vitoria,AC
Mirella Da Conceição,854.***.***-05,,,"pátio joão lucas cardoso, 77",maria tereza,AM
Stephany Cardoso,453.***.***-46,,,"praia luiz gustavo da luz, 83",são joão batista,RO
Sr. Enrico Melo,829.***.***-89,,,"esplanada farias, 252",caetano furquim,GO
Dr. Gabriel Souza,432.***.***-52,,,"rodovia de costela, 116",são geraldo,CE
Davi Jesus,914.***.***-70,,,"quadra vieira, 230",cdi jatoba,RO
Guilherme Freitas,517.***.***-07,,,"trecho de caldeira, 369",santa sofia,SE
Theo Costa,705.***.***-49,,,"largo joão santos, 10",vila batik,RN
Dr. Gustavo Henrique Das Neves,430.***.***-00,,,"setor juliana fogaça, 605",piraja,MA
Maria Luiza Gomes,821.***.***-53,,,"área ana vitória martins, 56",xodo-marize,BA
Davi Lucas Peixoto,610.***.***-07,,,"área thomas moraes, 58",canaa,RJ
Bruna Almeida,610.***.***-57,,,"chácara mendes, 64",varzea da palma,PR
Juliana Ramos,846.***.***-05,,,"vale de duarte, 5",horto florestal,AM
Sarah Nascimento,560.***.***-99,,,"alameda das neves, 1",planalto,MT
Brenda Da Luz,037.***.***-22,,,"viela danilo farias, 54",lagoa,PE
Heloísa Da Costa,648.***.***-19,,,"favela correia, 6",vila dos anjos,SE
Emanuella Araújo,758.***.***-82,,,rodovia maria julia peixoto,jardim guanabara,AC
Vitor Viana,036.***.***-34,,,"trecho de oliveira, 41",urca,AC
Yago Lopes,720.***.***-59,,,"lagoa danilo fogaça, 756",nova gameleira,RO
Lívia Souza,308.***.***-50,,,"colônia de correia, 93",laranjeiras,CE
Gabriela Cavalcanti,359.***.***-41,,,"setor oliveira, 4",são josé,MA
Enzo Nogueira,309.***.***-00,,,morro de ferreira,vila são joão batista,MG
Dr. Ian Barbosa,412.***.***-03,,,"alameda eduardo barros, 60",gameleira,PI
Gabriela Rocha,348.***.***-35,,,"área joaquim nogueira, 98",pedreira padro lopes,MA
Maria Julia Martins,576.***.***-12,,,"loteamento de nunes, 83",jatobá,PB
Dra. Marina Santos,950.***.***-02,,,"viela alana souza, 456",união,DF
Heloísa Teixeira,635.***.***-07,,,"viela de da cruz, 61",bonsucesso,PA
Paulo Farias,593.***.***-15,,,"esplanada thomas pires, 33",providencia,AP
Gabrielly Cardoso,127.***.***-43,,,estrada da cruz,aparecida,AP
Davi Aragão,598.***.***-20,,,"residencial de cardoso, 66",vila santo antônio,SE
Yago Peixoto,380.***.***-05,,,"condomínio de nunes, 436",vila betânia,PI
Erick Da Conceição,983.***.***-83,,,"morro nunes, 657",ipe,CE
Isis Araújo,216.***.***-13,,,"praia de campos, 82",vila oeste,SP
Dr. Nicolas Rezende,460.***.***-49,,,"esplanada marcela castro, 36",flavio de oliveira,PA
Sr. Samuel Nascimento,914.***.***-24,,,setor luana ramos,nova pampulha,AC
Sra. Maria Fernanda Barbosa,718.***.***-03,,,"esplanada pedro nascimento, 71",vila são paulo,GO
Luiz Felipe Farias,069.***.***-74,,,"favela kaique fogaça, 19",castelo,AL
Sr. Calebe Silva,402.***.***-49,,,rodovia de castro,santa branca,ES
Emanuella Gonçalves,107.***.***-02,,,Endereço inválido,Desconhecido,Desconhecido
Augusto Oliveira,246.***.***-17,,,"colônia costa, 81",vera cruz,RO
Pedro Azevedo,953.***.***-65,,,"vale vieira, 49",comiteco,RS
Sra. Maria Luiza Fogaça,650.***.***-06,,,"recanto de moreira, 426",santo agostinho,MT
Eduarda Oliveira,365.***.***-83,,,"sítio clarice sales, 99",silveira,PB
Paulo Ramos,490.***.***-43,,,sítio azevedo,vila mantiqueira,DF
Beatriz Pires,275.***.***-21,,,recanto de castro,centro,MA
Fernando Azevedo,790.***.***-99,,,"estação rafael nunes, 90",jardim são josé,RO
Eloah Silva,037.***.***-61,,,"viela da rocha, 160",barão homem de melo 2ª seção,BA
Caio Araújo,407.***.***-14,,,"morro ribeiro, 11",casa branca,GO
Sra. Valentina Sales,269.***.***-31,,,"sítio ramos, 73",cachoeirinha,MG
Melissa Cunha,719.***.***-73,,,"ladeira luiza pinto, 9",conjunto minas caixa,MT
Laís Da Paz,139.***.***-33,,,"lagoa cavalcanti, 12",vila ecológica,SP
Heitor Silveira,183.***.***-89,,,avenida azevedo,santa maria,MA
Fernanda Moraes,064.***.***-44,,,"avenida rocha, 13",alta tensão 2ª seção,PI
Alana Souza,801.***.***-42,,,"praia moreira, 1",cardoso,SE
Srta. Caroline Da Rosa,192.***.***-98,,,"passarela rocha, 96",buraco quente,SP
Stephany Vieira,682.***.***-22,,,"travessa guilherme carvalho, 7",jonas veiga,MS
Enzo Barros,794.***.***-16,,,"estação fernandes, 85",nova floresta,GO
Caroline Peixoto,036.***.***-30,,,"loteamento thales pires, 51",vila união,RR
Maria Vitória Novaes,804.***.***-58,,,"via vieira, 26",ouro preto,GO
Bruna Moura,240.***.***-06,,,"quadra amanda martins, 4",universo,MG
Maitê Peixoto,501.***.***-58,,,"distrito caldeira, 95",serra,PI
Dr. Anthony Barbosa,749.***.***-20,,,"distrito de fogaça, 13",pompéia,AP
Alexandre Jesus,269.***.***-34,,,"aeroporto de fogaça, 74",vila santa monica 2ª seção,BA
Marcos Vinicius Campos,421.***.***-22,,,"trecho de barbosa, 7",são josé,RJ
Rebeca Da Rosa,640.***.***-22,,,trecho da mata,barroca,SC
Henrique Monteiro,378.***.***-73,,,"largo theo silva, 91",nossa senhora da conceição,SP
Luigi Da Rosa,316.***.***-87,,,"pátio de rocha, 4",cinquentenário,MG
Melissa Dias,170.***.***-05,,,"quadra isabel castro, 40",biquinhas,PI
Igor Ramos,695.***.***-77,,,"lago de caldeira, 4",beija flor,AC
Alice Cardoso,123.***.***-09,,,"viaduto araújo, 76",são bento,PR
Breno Freitas,205.***.***-41,,,"loteamento de ferreira, 24",nova suíça,PA
Ana Lívia Da Paz,347.***.***-69,,,"ladeira gomes, 10",califórnia,RJ
Sr. Daniel Cavalcanti,609.***.***-33,,,"núcleo de da paz, 894",sion,GO
Sr. Pedro Cavalcanti,863.***.***-84,,,recanto de melo,nossa senhora do rosário,BA
Nome inválido,930.***.***-38,,,"colônia da rocha, 31",jardim américa,RN
Nome inválido,146.***.***-00,,,"estrada nogueira, 21",atila de paiva,PB
Renan Da Luz,294.***.***-23,,,rua não cadastrada,bairro não cadastrado,PR
Caroline Costa,401.***.***-88,,,rua não cadastrada,bairro não cadastrado,RS
Giovanna Farias,241.***.***-35,,,rua não cadastrada,bairro não cadastrado,RJ
Maitê Araújo,496.***.***-55,,,rua não cadastrada,bairro não cadastrado,RS
Lavínia Da Mota,039.***.***-00,,,rua não cadastrada,bairro não cadastrado,ES
Igor Cardoso,345.***.***-05,,,rua não cadastrada,bairro não cadastrado,AM
Maria Julia Campos,018.***.***-13,,,rua não cadastrada,bairro não cadastrado,MG
Marcos Vinicius Das Neves,617.***.***-02,,,rua não cadastrada,bairro não cadastrado,RO
